   ,word      ,x                    ,y                    ,count,part_of_speech
113,death     ,10.46389102935791    ,2.4758639335632324   ,167  ,NN
114,eternal   ,14.460014343261719   ,-0.041373226791620255,23   ,JJ
115,lo        ,19.047128677368164   ,-16.45829200744629   ,34   ,NNP
116,am        ,13.31888484954834    ,19.882925033569336   ,240  ,VBP
117,chant     ,17.965456008911133   ,-1.2838568687438965  ,21   ,NN
118,above     ,-1.4833464622497559  ,4.408448696136475    ,26   ,IN
119,all       ,-2.1489686965942383  ,8.66507625579834     ,733  ,DT
120,ships     ,-13.05807113647461   ,-17.588289260864258  ,62   ,NNS
121,sea       ,-7.148843288421631   ,-22.117631912231445  ,180  ,NN
122,on        ,-7.867403984069824   ,-12.417954444885254  ,591  ,IN
123,every     ,-15.765954971313477  ,14.584604263305664   ,181  ,DT
124,side      ,-9.131683349609375   ,-12.378408432006836  ,80   ,NN
125,music     ,11.667838096618652   ,-10.700029373168945  ,36   ,NN
126,large     ,-9.936803817749023   ,-19.838653564453125  ,50   ,JJ
127,where     ,-3.384040117263794   ,-12.227937698364258  ,221  ,WRB
128,full      ,11.33682918548584    ,0.018628671765327454 ,77   ,JJ
129,faith     ,-24.01222038269043   ,14.733787536621094   ,33   ,NN
130,white     ,-3.126803159713745   ,-14.493370056152344  ,87   ,JJ
131,she       ,-22.414758682250977  ,0.8592836260795593   ,115  ,PRP
132,day       ,-16.790605545043945  ,19.034982681274414   ,255  ,NN
133,star      ,-4.772633075714111   ,-33.13951873779297   ,23   ,NN
134,night     ,-4.5642547607421875  ,-11.589170455932617  ,214  ,NN
135,young     ,-24.139400482177734  ,-5.085110664367676   ,116  ,JJ
136,will      ,12.673286437988281   ,24.61451530456543    ,260  ,MD
137,land      ,-22.574785232543945  ,-20.175092697143555  ,114  ,NN
138,our       ,23.620939254760742   ,17.537490844726562   ,104  ,PRP$
139,thoughts  ,14.530227661132812   ,-29.092716217041016  ,32   ,NNS
140,sky       ,-1.9781999588012695  ,-17.04801368713379   ,63   ,NN
141,feel      ,11.301687240600586   ,-6.10309362411499    ,22   ,VBP
142,feet      ,-8.5012788772583     ,-11.275813102722168  ,45   ,NNS
143,long      ,-3.739926815032959   ,-4.894627094268799   ,93   ,JJ
144,endless   ,-0.27395981550216675 ,0.1564018875360489   ,28   ,JJ
145,unseen    ,-16.609529495239258  ,-3.0503406524658203  ,30   ,JJ
146,vast      ,5.360764503479004    ,-7.355661392211914   ,52   ,JJ
147,flowing   ,-8.93824291229248    ,-22.079092025756836  ,26   ,VBG
148,this      ,-1.4261726140975952  ,13.1694974899292     ,296  ,DT
149,ocean     ,-10.906798362731934  ,-12.388882637023926  ,33   ,NN
150,o         ,3.478878974914551    ,4.745854377746582    ,520  ,UH
151,your      ,9.06352424621582     ,14.015451431274414   ,364  ,PRP$
152,you       ,7.625854969024658    ,14.137896537780762   ,1537 ,PRP
153,know      ,5.509035587310791    ,22.117586135864258   ,122  ,VBP
154,ship      ,-10.483980178833008  ,-25.080366134643555  ,74   ,NN
155,that      ,-7.562661647796631   ,5.639848709106445    ,309  ,WDT
156,sail      ,-23.511516571044922  ,-20.7817325592041    ,20   ,VB
157,!         ,1.1111023426055908   ,2.9330761432647705   ,1207 ,.
158,forth     ,1.3435301780700684   ,0.7057085633277893   ,80   ,RB
159,love      ,9.72526741027832     ,7.5659990310668945   ,187  ,NN
160,dear      ,11.501799583435059   ,5.6947340965271      ,56   ,JJ
161,;         ,-1.0016244649887085  ,3.050069808959961    ,393  ,:
162,little    ,17.50418472290039    ,-11.668424606323242  ,93   ,JJ
163,o’er      ,18.594253540039062   ,-18.22946548461914   ,27   ,NNP
164,song      ,5.293052673339844    ,4.544461727142334    ,95   ,NN
165,all       ,-0.08098843693733215 ,-1.7464543581008911  ,252  ,PDT
166,their     ,-11.782815933227539  ,-2.5644147396087646  ,358  ,PRP$
167,heard     ,-11.19141674041748   ,-9.21960735321045    ,43   ,VBD
168,that      ,3.728318929672241    ,17.01268196105957    ,302  ,IN
169,something ,1.9273074865341187   ,13.828202247619629   ,63   ,NN
170,to        ,11.577383995056152   ,23.773008346557617   ,962  ,TO
171,new       ,9.858757972717285    ,-8.96077823638916    ,22   ,NNP
172,world     ,-18.705228805541992  ,23.376447677612305   ,25   ,NNP
173,america   ,0.7467496991157532   ,8.750550270080566    ,78   ,NNP
174,her       ,-20.979829788208008  ,0.38966941833496094  ,136  ,PRP$
175,who       ,14.757635116577148   ,15.43200969696045    ,218  ,WP
176,have      ,4.419586181640625    ,25.0986385345459     ,312  ,VBP
177,has       ,5.706202507019043    ,26.214317321777344   ,156  ,VBZ
178,itself    ,-0.8802582025527954  ,15.309829711914062   ,78   ,PRP
179,man       ,0.2654690146446228   ,31.57936668395996    ,231  ,NN
180,politics  ,-2.9211008548736572  ,30.849170684814453   ,25   ,NNS
